step,loss,it_per_s
100,2.15222,1.90
200,1.66928,1.92
300,1.15614,1.92
400,0.89534,1.92
500,0.64006,1.92
600,0.59275,1.92
700,0.53430,1.92
800,0.35880,1.92
900,0.30755,1.92
1000,0.28326,1.92
1100,0.23522,1.92
1200,0.20044,1.92
1300,0.20679,1.93
1400,0.16036,1.93
1500,0.15998,1.93
1600,0.15836,1.93
1700,0.14471,1.93
1800,0.13298,1.93
1900,0.12842,1.93
2000,0.11056,1.93
2100,0.12998,1.93
2200,0.09485,1.93
2300,0.12599,1.93
2400,0.12824,1.93
2500,0.10808,1.93
2600,0.08366,1.93
2700,0.13014,1.93
2800,0.14678,1.93
2900,0.09884,1.93
3000,0.07523,1.93
3100,0.10245,1.93
3200,0.10151,1.93
3300,0.10682,1.93
3400,0.11301,1.93
3500,0.07982,1.93
3600,0.09309,1.93
3700,0.07959,1.93
3800,0.08329,1.93
3900,0.07154,1.93
4000,0.08752,1.93
4100,0.08745,1.93
4200,0.08412,1.93
4300,0.07357,1.93
4400,0.09486,1.93
4500,0.07132,1.93
4600,0.08184,1.93
4700,0.12623,1.93
4800,0.07413,1.93
4900,0.11346,1.93
5000,0.09950,1.93
5100,0.07949,1.93
5200,0.11768,1.93
5300,0.05840,1.93
5400,0.08670,1.93
5500,0.07755,1.93
5600,0.08603,1.93
5700,0.06428,1.93
5800,0.08622,1.93
5900,0.08808,1.93
6000,0.07583,1.93
6100,0.11230,1.93
6200,0.06302,1.93
6300,0.08054,1.93
6400,0.07720,1.93
6500,0.09200,1.93
6600,0.08926,1.93
6700,0.07163,1.93
6800,0.10537,1.93
6900,0.09541,1.93
7000,0.06148,1.93
7100,0.06352,1.93
7200,0.10224,1.93
7300,0.07286,1.93
7400,0.05657,1.93
7500,0.09707,1.93
7600,0.06971,1.93
7700,0.05458,1.93
7800,0.08612,1.93
7900,0.07620,1.93
8000,0.10213,1.93
8100,0.05770,1.93
8200,0.06751,1.93
8300,0.06220,1.93
8400,0.06263,1.93
8500,0.05268,1.93
8600,0.06865,1.93
8700,0.08677,1.93
8800,0.07127,1.93
8900,0.06499,1.93
9000,0.06130,1.93
9100,0.08019,1.93
9200,0.07412,1.93
9300,0.05215,1.93
9400,0.06580,1.93
9500,0.08319,1.93
9600,0.08435,1.93
9700,0.11168,1.93
9800,0.06644,1.93
9900,0.08254,1.93
10000,0.05624,1.93
10100,0.06812,1.93
10200,0.10951,1.93
10300,0.07216,1.93
10400,0.08938,1.93
10500,0.07641,1.93
10600,0.07560,1.91
10700,0.09104,1.89
10800,0.07479,1.88
10900,0.05146,1.87
11000,0.08157,1.87
11100,0.10631,1.87
11200,0.08595,1.87
11300,0.06475,1.87
11400,0.06370,1.87
11500,0.06806,1.87
11600,0.09706,1.87
11700,0.06499,1.87
11800,0.07227,1.87
11900,0.06809,1.87
12000,0.06835,1.87
