step,loss,it_per_s
100,2.54877,1.90
200,1.81104,1.71
300,1.32286,1.77
400,0.90904,1.80
500,0.66965,1.83
600,0.55815,1.77
700,0.45485,1.77
800,0.34480,1.79
900,0.27060,1.81
1000,0.25783,1.82
1100,0.21618,1.82
1200,0.19941,1.83
1300,0.20837,1.84
1400,0.16473,1.85
1500,0.13445,1.85
1600,0.14010,1.86
1700,0.13762,1.86
1800,0.10724,1.87
1900,0.10521,1.87
2000,0.10364,1.87
2100,0.09141,1.87
2200,0.10343,1.88
2300,0.09303,1.88
2400,0.08773,1.88
2500,0.07951,1.88
2600,0.07830,1.89
2700,0.08218,1.89
2800,0.08051,1.89
2900,0.08022,1.89
3000,0.07183,1.89
3100,0.07425,1.89
3200,0.07506,1.90
3300,0.06991,1.90
3400,0.07091,1.90
3500,0.06337,1.90
3600,0.07906,1.90
3700,0.07644,1.90
3800,0.06910,1.90
3900,0.07672,1.90
4000,0.05587,1.90
4100,0.05606,1.90
4200,0.06324,1.90
4300,0.05850,1.90
4400,0.07618,1.90
4500,0.07246,1.90
4600,0.06838,1.91
4700,0.06621,1.91
4800,0.07238,1.91
4900,0.07116,1.91
5000,0.07026,1.91
5100,0.05996,1.91
5200,0.06463,1.91
5300,0.06153,1.91
5400,0.05523,1.91
5500,0.06427,1.91
5600,0.05666,1.91
5700,0.06255,1.91
5800,0.06668,1.91
5900,0.06530,1.91
6000,0.05735,1.91
6100,0.06108,1.91
6200,0.05762,1.91
6300,0.07460,1.91
6400,0.06350,1.91
6500,0.06278,1.91
6600,0.05681,1.91
6700,0.05146,1.91
6800,0.05459,1.91
6900,0.07772,1.91
7000,0.04968,1.91
7100,0.05377,1.91
7200,0.05335,1.91
7300,0.05559,1.91
7400,0.06038,1.91
7500,0.05361,1.91
7600,0.05559,1.91
7700,0.04339,1.91
7800,0.05054,1.91
7900,0.05325,1.91
8000,0.06159,1.91
