step,loss,it_per_s
100,2.55805,1.43
200,1.84069,1.65
300,1.31161,1.73
400,0.93156,1.78
500,0.68334,1.81
600,0.57240,1.83
700,0.47885,1.84
800,0.34980,1.85
900,0.32138,1.86
1000,0.25790,1.87
1100,0.22338,1.87
1200,0.21716,1.88
1300,0.20605,1.88
1400,0.16277,1.88
1500,0.15915,1.88
1600,0.14633,1.89
1700,0.14583,1.89
1800,0.12379,1.89
1900,0.11600,1.89
2000,0.12256,1.89
2100,0.09643,1.90
2200,0.11972,1.90
2300,0.09697,1.90
2400,0.09298,1.90
2500,0.08811,1.90
2600,0.08647,1.90
2700,0.12305,1.90
2800,0.09422,1.90
2900,0.08346,1.90
3000,0.08829,1.91
3100,0.07185,1.91
3200,0.07443,1.91
3300,0.07522,1.91
3400,0.09063,1.91
3500,0.08114,1.91
3600,0.08181,1.91
3700,0.07511,1.91
3800,0.07214,1.91
3900,0.08057,1.91
4000,0.06484,1.91
4100,0.05867,1.91
4200,0.07172,1.92
4300,0.06721,1.92
4400,0.08910,1.92
4500,0.07581,1.92
4600,0.07161,1.92
4700,0.08873,1.92
4800,0.07428,1.92
4900,0.07755,1.92
5000,0.07482,1.92
5100,0.07094,1.92
5200,0.06959,1.92
5300,0.06006,1.92
5400,0.06039,1.92
5500,0.06054,1.92
5600,0.05987,1.92
5700,0.06462,1.92
5800,0.08586,1.92
5900,0.06848,1.92
6000,0.06217,1.92
6100,0.07202,1.92
6200,0.07106,1.92
6300,0.08999,1.92
6400,0.08554,1.92
6500,0.06825,1.92
6600,0.06609,1.92
6700,0.06039,1.92
6800,0.06835,1.93
6900,0.07820,1.93
7000,0.05414,1.93
7100,0.06777,1.93
7200,0.06427,1.93
7300,0.05601,1.93
7400,0.08221,1.93
7500,0.06304,1.93
7600,0.06091,1.93
7700,0.04430,1.93
7800,0.07628,1.93
7900,0.06787,1.93
8000,0.06838,1.93
